Date : 2024-01-08 16:58:04
Directory : /Users/siyao/Documents/DMP/DMPReborn
Total : 352 files,  46168 codes, 7650 comments, 5594 blanks, all 59412 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        196 |     31,292 |      5,999 |      2,617 |     39,908 |
| JavaScript         |         11 |      7,455 |         32 |      2,330 |      9,817 |
| TypeScript JSX     |         39 |      4,324 |      1,000 |        301 |      5,625 |
| CSS                |         20 |      1,339 |        247 |        236 |      1,822 |
| JSON               |         43 |      1,197 |         85 |          2 |      1,284 |
| JSON with Comments |         22 |        325 |        235 |          0 |        560 |
| YAML               |          5 |        105 |         43 |         26 |        174 |
| Markdown           |          6 |         84 |          0 |         66 |        150 |
| Docker             |          2 |         16 |          9 |         11 |         36 |
| HTML               |          1 |         16 |          0 |          4 |         20 |
| Shell Script       |          7 |         15 |          0 |          1 |         16 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        352 |     46,168 |      7,650 |      5,594 |     59,412 |
| . (Files)                                                                                                                                     |         13 |        467 |          0 |         39 |        506 |
| .devcontainer                                                                                                                                 |          2 |         22 |         22 |          4 |         48 |
| .github                                                                                                                                       |          3 |         99 |         43 |         25 |        167 |
| .github (Files)                                                                                                                               |          1 |         24 |          0 |          1 |         25 |
| .github/workflows                                                                                                                             |          2 |         75 |         43 |         24 |        142 |
| packages                                                                                                                                      |        324 |     45,363 |      7,573 |      5,507 |     58,443 |
| packages/itmat-commons                                                                                                                        |         18 |        549 |         67 |         78 |        694 |
| packages/itmat-commons (Files)                                                                                                                |          9 |        149 |         50 |         16 |        215 |
| packages/itmat-commons/src                                                                                                                    |          8 |        300 |         14 |         49 |        363 |
| packages/itmat-commons/src (Files)                                                                                                            |          1 |          1 |          0 |          2 |          3 |
| packages/itmat-commons/src/utils                                                                                                              |          7 |        299 |         14 |         47 |        360 |
| packages/itmat-commons/test                                                                                                                   |          1 |        100 |          3 |         13 |        116 |
| packages/itmat-commons/test/unitTests                                                                                                         |          1 |        100 |          3 |         13 |        116 |
| packages/itmat-docker                                                                                                                         |          5 |        176 |          3 |         19 |        198 |
| packages/itmat-docker (Files)                                                                                                                 |          4 |        132 |          3 |         18 |        153 |
| packages/itmat-docker/config                                                                                                                  |          1 |         44 |          0 |          1 |         45 |
| packages/itmat-interface                                                                                                                      |         98 |     26,060 |      5,020 |      1,928 |     33,008 |
| packages/itmat-interface (Files)                                                                                                              |          7 |        158 |         35 |          7 |        200 |
| packages/itmat-interface/config                                                                                                               |          1 |         55 |          0 |          0 |         55 |
| packages/itmat-interface/src                                                                                                                  |         72 |      9,094 |      4,486 |      1,260 |     14,840 |
| packages/itmat-interface/src (Files)                                                                                                          |          3 |        145 |         20 |         23 |        188 |
| packages/itmat-interface/src/authentication                                                                                                   |          1 |         18 |          1 |          4 |         23 |
| packages/itmat-interface/src/database                                                                                                         |          1 |         49 |          0 |          3 |         52 |
| packages/itmat-interface/src/emailer                                                                                                          |          1 |         20 |          0 |          6 |         26 |
| packages/itmat-interface/src/encryption                                                                                                       |          1 |         37 |          0 |          6 |         43 |
| packages/itmat-interface/src/environments                                                                                                     |          2 |          6 |          0 |          2 |          8 |
| packages/itmat-interface/src/graphql                                                                                                          |         34 |      5,418 |      3,353 |        907 |      9,678 |
| packages/itmat-interface/src/graphql (Files)                                                                                                  |          5 |        675 |          0 |        122 |        797 |
| packages/itmat-interface/src/graphql/core                                                                                                     |         15 |      3,746 |      1,830 |        529 |      6,105 |
